Categorie;Produit;Variante;Quantite;Prix_vente;Prix_achat;Statut
Bijoux Personnalisés;Bracelet empreinte pied de bébé à graver;Argenté;5;12.5;0.46;OK
Bijoux Personnalisés;Bracelet empreinte pied de bébé à graver;Doré;5;12.5;0.57;OK
Bijoux Personnalisés;Bracelet femme acier à graver;Doré;1;17.9;2;BAS
Bijoux Personnalisés;Bracelet femme cœur à graver;Doré;1;17.9;2.2;BAS
Bijoux Personnalisés;Bracelet femme papillon ajouré à graver;Argenté;4;17.9;1.26;OK
Bijoux Personnalisés;Bracelet femme papillon ajouré à graver;Doré;4;17.9;1.75;OK
Bijoux Personnalisés;Bracelet femme papillon ajouré à graver;Noir;5;15.9;1.75;OK
Bijoux Personnalisés;Bracelet femme papillon ajouré à graver;Or Rose;4;18.9;1.75;OK
Bijoux Personnalisés;Bracelet homme chaîne acier à graver;Argenté;3;24.9;2.26;OK
Bijoux Personnalisés;Bracelet homme chaîne acier à graver;Noir;3;26.9;3.16;OK
Bijoux Personnalisés;Bracelet homme cuir tressé acier à graver;Argenté;7;14.9;0.91;OK
Bijoux Personnalisés;Bracelet homme cuir tressé acier à graver;Doré;8;14.9;0.91;OK
Bijoux Personnalisés;Bracelet homme cuir tressé acier à graver;Noir;8;14.9;0.91;OK
Bijoux Personnalisés;Bracelet homme cuir tressé acier à graver;Doré;4;15.9;1.05;OK
Bijoux Personnalisés;Bracelet homme double anneau acier à graver;Argenté;5;19.9;0.69;OK
Bijoux Personnalisés;Bracelet homme rond rétro acier à graver;Argenté;3;14.9;0.59;OK
Bijoux Personnalisés;Bracelet homme rond rétro acier à graver;Noir;3;14.9;0.65;OK
Bijoux Personnalisés;Collier couple cœur à graver (lot de 2);Or Rose;1;24.9;1.01;BAS
Bijoux Personnalisés;Collier couple pendentif puzzle géométrique à graver;Argenté;11;12.9;0.42;OK
Bijoux Personnalisés;Collier couple pendentif puzzle géométrique à graver;Or Rose;12;14.9;0.99;OK
Bijoux Personnalisés;Collier femme enveloppe à graver;Argenté;22;17.9;1.58;OK
Bijoux Personnalisés;Collier femme enveloppe à graver;Doré;13;17.9;1.81;OK
Bijoux Personnalisés;Collier femme enveloppe à graver;Or Rose;13;18.9;1.81;OK
Bijoux Personnalisés;Collier femme pendentif géométrique à graver;Argenté;5;16.9;0.93;OK
Bijoux Personnalisés;Collier femme pendentif géométrique à graver;Arc en Ciel;5;19.9;1.28;OK
Bijoux Personnalisés;Collier femme pendentif géométrique à graver;Doré;5;18.9;1.3;OK
Bijoux Personnalisés;Collier femme pendentif géométrique à graver;Noir;5;18.9;1.28;OK
Bijoux Personnalisés;Collier femme pendentif géométrique à graver;Or Rose;5;18.9;1.3;OK
Bijoux Personnalisés;Collier médaillon cœur à graver;Argent et Or;2;27.9;4.1;BAS
Bijoux Personnalisés;Collier médaillon cœur à graver;Argenté;2;25.9;4.1;BAS
Bijoux Personnalisés;Collier médaillon livre à graver;Argenté;12;25.9;4.22;OK
Bijoux Personnalisés;Collier médaillon livre à graver;Doré;12;25.9;5.79;OK
Bijoux Personnalisés;Collier médaillon livre à graver;Doré et Argenté;12;26.9;5.34;OK
Bijoux Personnalisés;Collier plaque acier à graver;Acier Noir;5;20.9;1.68;OK
Bijoux Personnalisés;Collier plaque acier à graver;Argenté;5;18.9;1.32;OK
Bijoux Personnalisés;Collier plaque acier à graver;Argenté et Noir;5;21.9;1.68;OK
Bijoux Personnalisés;Collier plaque acier à graver;Doré;5;21.9;1.68;OK
Bijoux Personnalisés;Collier plaque acier à graver;Noir;5;19.9;1.68;OK
Clés USB Personnalisées;Clé USB bois — Coffret bois;4GB avec boite en bois;3;24.9;6;OK
Clés USB Personnalisées;Clé USB cristal — Gravure 3D;4 Go;1;17.9;6;BAS
Clés USB Personnalisées;Clé USB cristal — Gravure 3D;4 Go;1;17.9;6;BAS
Cristal Gravure 3D;Pyramide cristal — Gravure 3D;50mm;1;39.9;5;BAS
Cristal Gravure 3D;Trophée cristal vierge — Gravure 3D;14 cm;1;69.9;7.1;BAS
Pièces Métal à Graver;Pièce ronde laiton à graver;Laiton;9;14.9;1.8;OK
Porte-clés Cristal LED;Porte-clés cristal LED — Gravure 3D;Coeur;5;24.9;1.6;OK
Porte-clés Cristal LED;Porte-clés cristal LED — Gravure 3D;Rectangle;4;22.9;1.4;OK
Porte-clés Cuir;Porte-clés cuir vierge à graver;Marron;10;7.9;0.4;OK
Porte-clés Cuir;Porte-clés cuir vierge à graver;Noir;10;7.9;0.4;OK
Socles Lumineux LED;Socle LED bois pour cristal;LED blanc;1;14.9;3;BAS
Socles Lumineux LED;Socle LED pour cristal;Noir;2;25.9;7.4;BAS
Sous-verres Personnalisés;Sous-verres ardoise (lot de 8);Ardoise 8 piéces;1;68.9;32;BAS
;;;284;;;
